product_id,product_name,barcode,brand,image,description,url
10,"
	KẸO SOCOLA KINH ĐÔ THẬP CẨM 330G – TẾT 2025",,Kinh Đô,https://banhkinhdo.com.vn/wp-content/uploads/2023/11/SOLA-KEO-BICH.jpg,KẸO SOCOLA KINH ĐÔ THẬP CẨM 330G – TẾT 2025 Túi 330gr – 10 túi/thùng,https://banhkinhdo.com.vn/san-pham/hop-qua-socola-sua-hanh-nhan-cadbury-dairy-milk-150g-tet-2024/
11,"
	KẸO SOCOLA KINH ĐÔ THẬP CẨM  138G – TẾT 2025",,Kinh Đô,https://banhkinhdo.com.vn/wp-content/uploads/2023/11/SOLA.jpg,KẸO SOCOLA KINH ĐÔ THẬP CẨM 138G Hộp giấy 138g -23 hộp/ thùng,https://banhkinhdo.com.vn/san-pham/hop-qua-socola-sua-cadbury-dairy-milk-150g-tet-2024/
12,"
	AFC BÁNH CRACKER DINH DƯỠNG 172G",,Kinh Đô,https://banhkinhdo.com.vn/wp-content/uploads/2023/11/z4919563754713_87d63b9cd5ba53aba1e3a76053f105f9-1.jpg,AFC BÁNH CRACKER DINH DƯỠNG Vị Lúa Mì/ Rau/ Tảo Biển/ Bò Bít Tết Hộp giấy 172g – 16 hộp/ thùng,https://banhkinhdo.com.vn/san-pham/afc-banh-cracker-dinh-duong-172g/
13,"
	KẸO KINH ĐÔ SOCOLA  THẬP CẨM 230G TẾT 2025",,Kinh Đô,https://banhkinhdo.com.vn/wp-content/uploads/2023/11/SOLA-HOP.jpg,Kẹo kinh đô choco (hộp hình tim thập cẩm) 230g 20 hộp/ thùng,https://banhkinhdo.com.vn/san-pham/keo-kinh-do-choco-hop-hinh-tim-thap-cam-138g-tet-2021/
14,"
	BÁNH CRACKER AFC DINH DƯỠNG VỊ CỐM NON 2024 (261G)",4254966,Kinh Đô,https://banhkinhdo.com.vn/wp-content/uploads/2020/12/afc-banh-cracker-dinh-duong-vi-com-non-hop-giay.jpg,Bánh cracker AFC dinh dưỡng Vị cốm non Hộp giấy 261g – 16 hộp/thùng,https://banhkinhdo.com.vn/san-pham/banh-cracker-afc-dinh-duong-vi-rau-lua-mi-tet-2021/
15,"
	BÁNH CRACKER AFC DINH DƯỠNG VỊ CARAMEN FLAN 261G – TẾT 2024",4303508,Kinh Đô,https://banhkinhdo.com.vn/wp-content/uploads/2020/12/afc-banh-cracker-dinh-duong-vi-caramel-flan-600x600-1.jpg,Tên sản phẩm: Bánh cracker AFC dinh dưỡng Vị caramen flan Hộp giấy 216g – 16 hộp/thùng,https://banhkinhdo.com.vn/san-pham/banh-cracker-afc-dinh-duong-vi-rau-lua-mi-tet-2021-2/
16,"
	KẸO KINH ĐÔ CHOCO HỘP BÁT GIÁC THẬP CẨM 230G TẾT 2024",,Kinh Đô,https://banhkinhdo.com.vn/wp-content/uploads/2021/01/z4919513534131_0cd170d00fed909fce5565be792fcd0e.jpg,Hộp hình bát giác 230g thập cẩm 20 hộp/thùng,https://banhkinhdo.com.vn/san-pham/keo-kinh-do-choco-hop-bat-giac-thap-cam-230g-tet-2021/
17,"
	Hộp 2 Bánh – Thu Hạnh Phúc 2 Ngọt",thuhanhphuc,Kinh Đô,https://banhkinhdo.com.vn/wp-content/uploads/2024/07/Hop-2-banh.jpg,Thương hiệu: Kinh Đô Thu Hạnh Phúc – Hộp 2 Bánh bao gồm: 1. Đậu Xanh Hạt Dưa 2 Trứng ( Đặc Biệt); 2. Khoai Môn Hạt Sen 2 Trứng ( Đặc Biệt) Hộp và túi giấy đi kèm.,https://banhkinhdo.com.vn/san-pham/thu-hanh-phuc-hop-2-banh/
18,"
	Trà Xanh Hạt Macadamia 150g – 2022",XTX,Kinh Đô,https://banhkinhdo.com.vn/wp-content/uploads/2020/07/20180811123228-picture-price-3.png,"Bánh trung thu chay Trà xanh hạt Hawaii : Với các thành phần dành cho người ăn chay. Thương hiệu: Kinh Đô Loại bánh: Bánh nướng Hình thức: 01 Bánh, hộp kiếng chống ẩm Khối lượng: 150 gram Thành phần: Nhân hỗn hợp Trà Xanh, Hạt Hawaii Bánh Xanh Đêm trăng đoàn tụ quây quần ~ Cả nhà thắp sáng một tòa yêu thương",https://banhkinhdo.com.vn/san-pham/tra-xanh-hat-macadamia/
19,"
	Đậu Xanh Hạnh Nhân 150g – Bánh dành cho người ăn kiêng, ăn chay",XDX,Kinh Đô,https://banhkinhdo.com.vn/wp-content/uploads/2020/07/20180811123243-picture-price-3.png,"Thương hiệu: Kinh Đô Loại bánh: Bánh Nướng Hình thức: 01 Bánh, Hộp Kiếng Chống Ẩm Khối lượng: 150 gram Thành phần: Nhân Hỗn Hợp Bánh Xanh. Bánh Xanh Đêm trăng đoàn tụ quây quần ~ Cả nhà thắp sáng một tòa yêu thương Cắn một miếng bánh Xanh là lúc người ăn lạc bước vào một vườn thượng uyển của hương vị với tràn ngập kỳ hoa, dị thảo, thứ nào cũng quen mà lạ dưới một vầng trăng dịu dàng thoát tục, không chỉ là những món quà của vị giác , mỗi chiếc bánh trung thu còn được những nghệ nhân Kinh Đô tính toán để đem lại nhiều chất bổ phù hợp cho sức khỏe người thưởng thức nhất, đặc biệt là những người ăn kiêng,",https://banhkinhdo.com.vn/san-pham/dau-xanh-hanh-nhan-150g-2024/
