product_image,product_url
https://banhbaongoc.vn/collections/banh-trung-thu-2024/products/banh-nuong-nhan-huong-com-dua,https://product.hstatic.net/200000124025/product/banh-nuong_cc4f722ba08543cdb963e961815c91e5_medium.jpg
https://banhbaongoc.vn/collections/banh-trung-thu-2024/products/banh-nuong-nhan-bi-dao-hat-chia,https://product.hstatic.net/200000124025/product/56_a987e42855234e7ea8564a1444e2a4e6_medium.jpg
https://banhbaongoc.vn/collections/banh-trung-thu-2024/products/banh-nuong-nhan-dau-do-hat-dieu-hanh-nhan,https://product.hstatic.net/200000124025/product/z4669762489097_c6ce492609dcd5a1455bcc29118b4516_fbacf08098c5496f8a208375b8681687_medium.jpg
https://banhbaongoc.vn/collections/banh-trung-thu-2024/products/nhan-ban-tu-banh-nuong-nhan-me-den-hat-chia-hanh-nhan,https://product.hstatic.net/200000124025/product/z4669762465127_d62ed4c805af11d36cef4f7907511d7f_ca632553159847ecb4597fdaa8894d10_medium.jpg
https://banhbaongoc.vn/collections/banh-trung-thu-2024/products/banh-deo-nhan-dau-do-hat-dieu-hanh-nhan,https://product.hstatic.net/200000124025/product/deo_dau_do_hanh_nhan_ba7e9b4ee27f4f81aee8887e1a2e9284_medium.jpg
https://banhbaongoc.vn/collections/banh-trung-thu-2024/products/banh-nuong-nhan-lava-socola-chay,https://product.hstatic.net/200000124025/product/59_5d0bfec3ab48430a97336c02984cb184_medium.jpg
https://banhbaongoc.vn/collections/banh-trung-thu-2024/products/banh-nuong-dau-xanh,https://product.hstatic.net/200000124025/product/nuong_dau_xanh_532c2b8cc16a4e50818d4cbd652a0cb7_medium.jpg
https://banhbaongoc.vn/collections/banh-trung-thu-2024/products/banh-nuong-nhan-dua-luoi,https://product.hstatic.net/200000124025/product/55_b40d0e9c460040a79c964a0e3ae1609e_medium.jpg
https://banhbaongoc.vn/collections/banh-trung-thu-2024/products/banh-nuong-tra-xanh-matcha,https://product.hstatic.net/200000124025/product/53_d51d359c5ade4d7b846d800b2a852e36_medium.jpg
https://banhbaongoc.vn/collections/banh-trung-thu-2024/products/banh-nuong-cafe-capuccino,https://product.hstatic.net/200000124025/product/z4669762513832_242e2cb4bd107863049c040d033c0580_ff3edd5682dd44da832f2f0626c352f0_medium.jpg
https://banhbaongoc.vn/collections/banh-trung-thu-2024/products/banh-trung-thu-nuong-nhan-sua-dua,https://product.hstatic.net/200000124025/product/banh-nuong_361b5fcef3604841bd5e0fd849812700_medium.jpg
https://banhbaongoc.vn/collections/banh-trung-thu-2024/products/banh-nuong-nhan-dau-xanh-1-trung,https://product.hstatic.net/200000124025/product/58_216cb84e7cc84d47bef5c71ef37d1afe_medium.jpg
https://banhbaongoc.vn/collections/banh-trung-thu-2024/products/banh-trung-thu-deo-nhan-huong-khoai-mon,https://product.hstatic.net/200000124025/product/61_55f897db5aff40dc95ff30759fd3414c_medium.jpg
https://banhbaongoc.vn/collections/banh-trung-thu-2024/products/banh-deo-dau-xanh-hat-dua,https://product.hstatic.net/200000124025/product/banh-deo-sen-nhuyen-hat-dua-2_46207b7147c041d7bc4f7e575b7cc121_medium.png
https://banhbaongoc.vn/collections/banh-trung-thu-2024/products/banh-trung-thu-deo-nhan-thap-cam-ga-quay-jambon,https://cdn.hstatic.net/products/200000124025/b_nh_d_o_th_p_c_m_l_p_x_ng_a7ae589dbc364617ade91eeeca8d0070_medium.jpg
https://banhbaongoc.vn/collections/banh-trung-thu-2024/products/banh-deo-thap-cam-lap-suon,https://product.hstatic.net/200000124025/product/deo_thap_cam_lap_xuong_60cdc075a4b74e16a1bad1bd91162d85_medium.jpg
https://banhbaongoc.vn/collections/banh-trung-thu-2024/products/banh-nuong-thap-cam-lap-suon,https://product.hstatic.net/200000124025/product/banh-nuong-thap-cap-1_786861a44eba475c97768f1ad73695d4_medium.png
https://banhbaongoc.vn/collections/banh-trung-thu-2024/products/banh-trung-thu-cao-cap-tinh-hoa-ban-sac,https://product.hstatic.net/200000124025/product/z4669762443517_54a65c36b964ffc0a50ace8ab9f39ca9_8835dc3de89e45c3886697efec40968a_medium.jpg
https://banhbaongoc.vn/collections/banh-trung-thu-2024/products/banh-trung-thu-cao-cap-tinh-hoa-dau-an,https://product.hstatic.net/200000124025/product/z4669843146312_b0f3db2c6b1906f8588813a4a7ee9423_64445cd9081749ef95ccf305c336c0ee_medium.jpg
